dfk_flurst,gwm,kf,fa,dvel,max_demand_pump,buildings_per_plot
8662/1569/10,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0991315853957564,1
8662/1662/3,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.122185218638637,1
8662/1573/7,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0327163191878903,1
8662/1575/8,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0827347472373884,1
8662/1573/8,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.064269892642299,1
8662/1573/9,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0645187324271749,1
8662/1573/10,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0641720978275084,1
8662/1573/11,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0202067256105535,1
8662/1573/12,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0693125429512538,1
8662/1575/7,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.142343758173407,1
8662/1672/5,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.107779789493903,1
8662/1575/9,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0501102224392716,1
8662/1576/0,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.159164079020499,1
8662/1576/4,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.203147017482918,2
8662/1578/4,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.127343399115637,1
8662/1578/6,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0470411385555955,1
8662/1578/7,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.046276645633766,1
8662/1578/9,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.12912733653186,1
8662/1578/10,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.119383199643639,1
8662/1578/11,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0621707408784778,1
8662/1578/16,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.133302707195868,1
8662/1578/17,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.217016597328931,1
8662/1578/18,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0670210115817177,1
8662/1578/19,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.040349945197306,1
8662/1665/5,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.100336793408965,1
8662/1578/20,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.235077637313238,1
8662/1578/27,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.166683940562984,1
8662/1666/3,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.069991318820087,1
8662/1578/29,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.437857379483114,1
8662/1672/2,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0966844215271194,1
8662/1580/0,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.182207748471573,1
8662/1581/4,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.217904427207637,1
8662/1657/4,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.281627535268251,1
8662/1658/2,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.163650606221597,1
8662/1658/3,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.094524017311276,1
8662/1660/1,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0653249240690489,1
8662/1660/2,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0487402697632981,1
8662/1660/8,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0751481009088829,1
8662/1662/2,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.123614539878053,1
8662/1664/3,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0877061931130872,1
8662/1664/4,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.074804153888907,1
8662/1664/5,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0960163394579397,1
8662/1665/0,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.162446368146598,1
8662/1665/4,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.137241155924085,1
8662/1666/2,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.190791770686893,1
8662/1666/5,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.177592526767908,1
8662/1666/6,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.075353962385981,1
8662/1667/1,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0743558349543924,1
8662/1667/2,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.123874156790467,1
8662/1668/2,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.212125329756106,1
8662/1668/4,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.129104195450682,1
8662/1669/0,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0948122279072809,1
8662/1669/1,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.161433004380946,1
8662/1671/0,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.107919607063458,1
8662/1671/1,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.0580701449962402,1
8662/1672/1,8.23990792976097,0.00293857789196787,7.09200299972065,3.71617528651732e-05,0.206994620467846,1
